2026-07-16 11:29:31,692 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x6f', 'b': '0x3a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,823 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x80', 'b': '0x85'}, 'response': {'zero': '0x0', 'result': '0x3'}}
2026-07-16 11:55:39,823 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x44', 'b': '0xd'}, 'response': {'zero': '0x0', 'result': '0x105'}}
2026-07-16 11:55:39,824 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x9', 'b': '0xa9'}, 'response': {'zero': '0x0', 'result': '0x49'}}
2026-07-16 11:55:39,824 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x0', 'a': '0x7f', 'b': '0x0'}, 'response': {'zero': '0x0', 'result': '0xa0'}}
2026-07-16 11:55:39,824 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x8c', 'b': '0x9a'}, 'response': {'zero': '0x0', 'result': '0x7f'}}
2026-07-16 11:55:39,825 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x1e', 'b': '0x4a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,825 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x5', 'a': '0x47', 'b': '0x1f'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:39,825 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x55', 'b': '0x36'}, 'response': {'zero': '0x0', 'result': '0x80000000'}}
2026-07-16 11:55:39,826 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x3a', 'b': '0x11'}, 'response': {'zero': '0x0', 'result': '0x8b'}}
2026-07-16 11:55:39,826 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x1', 'a': '0xbd', 'b': '0x3d'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,826 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x5', 'a': '0x35', 'b': '0xa8'}, 'response': {'zero': '0x0', 'result': '0x80'}}
2026-07-16 11:55:39,827 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x8', 'a': '0x4b', 'b': '0x5e'}, 'response': {'zero': '0x0', 'result': '0x3500'}}
2026-07-16 11:55:39,827 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0x21', 'b': '0x87'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:39,827 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x39', 'b': '0x65'}, 'response': {'zero': '0x0', 'result': '0xa7'}}
2026-07-16 11:55:39,828 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x1', 'b': '0x35'}, 'response': {'zero': '0x0', 'result': '0x7d'}}
2026-07-16 11:55:39,828 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x3b', 'b': '0x5a'}, 'response': {'zero': '0x0', 'result': '0x36'}}
2026-07-16 11:55:39,828 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x37', 'b': '0x1c'}, 'response': {'zero': '0x0', 'result': '0x95'}}
2026-07-16 11:55:39,829 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x5', 'b': '0x24'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,829 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x6b', 'b': '0x42'}, 'response': {'zero': '0x0', 'result': '0x29'}}
2026-07-16 11:55:39,829 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x4', 'a': '0x99', 'b': '0x7f'}, 'response': {'zero': '0x0', 'result': '0x6b'}}
2026-07-16 11:55:39,830 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x21', 'b': '0x2'}, 'response': {'zero': '0x0', 'result': '0xe6'}}
2026-07-16 11:55:39,830 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0xaa', 'b': '0x94'}, 'response': {'zero': '0x0', 'result': '0x1f'}}
2026-07-16 11:55:39,830 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x2', 'a': '0x37', 'b': '0x50'}, 'response': {'zero': '0x0', 'result': '0x16'}}
2026-07-16 11:55:39,831 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x0', 'a': '0x34', 'b': '0x42'}, 'response': {'zero': '0x0', 'result': '0x10'}}
2026-07-16 11:55:39,831 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0xc2', 'b': '0x2b'}, 'response': {'zero': '0x0', 'result': '0x76'}}
2026-07-16 11:55:39,831 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x52', 'b': '0x93'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,831 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x3', 'a': '0xa7', 'b': '0xa7'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,832 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x3', 'a': '0x6a', 'b': '0x9e'}, 'response': {'zero': '0x0', 'result': '0xa7'}}
2026-07-16 11:55:39,832 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0xac', 'b': '0x10'}, 'response': {'zero': '0x0', 'result': '0xfe'}}
2026-07-16 11:55:39,832 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x67', 'b': '0xb3'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,833 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x6', 'a': '0x72', 'b': '0x5b'}, 'response': {'zero': '0x0', 'result': '0x23'}}
2026-07-16 11:55:39,833 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x16', 'b': '0x5f'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,833 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x5', 'b': '0x48'}, 'response': {'zero': '0x0', 'result': '0x1'}}
2026-07-16 11:55:39,833 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x2', 'a': '0x7', 'b': '0xba'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,834 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x8', 'a': '0x26', 'b': '0x23'}, 'response': {'zero': '0x0', 'result': '0x2'}}
2026-07-16 11:55:39,834 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x8', 'a': '0xb5', 'b': '0x6a'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,834 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x1', 'alu_op': '0x6', 'a': '0x9f', 'b': '0x1'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,835 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x0', 'reset': '0x0', 'alu_op': '0x1', 'a': '0x5', 'b': '0xc0'}, 'response': {'zero': '0x0', 'result': '0x4f'}}
2026-07-16 11:55:39,835 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x4', 'a': '0x85', 'b': '0xb5'}, 'response': {'zero': '0x0', 'result': '0xffffff45'}}
2026-07-16 11:55:39,835 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0xba', 'b': '0x3c'}, 'response': {'zero': '0x0', 'result': '0x30'}}
2026-07-16 11:55:39,836 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x1', 'a': '0x7a', 'b': '0x6b'}, 'response': {'zero': '0x0', 'result': '0x7e'}}
2026-07-16 11:55:39,836 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x0', 'alu_op': '0x0', 'a': '0x1b', 'b': '0x83'}, 'response': {'zero': '0x0', 'result': '0xf'}}
2026-07-16 11:55:39,836 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x7', 'a': '0x12', 'b': '0xc8'}, 'response': {'zero': '0x0', 'result': '0x9e'}}
2026-07-16 11:55:39,836 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'clk': '0x1', 'reset': '0x1', 'alu_op': '0x7', 'a': '0x12', 'b': '0xc8'}, 'response': {'zero': '0x1', 'result': '0x0'}}
2026-07-16 11:55:39,841 - INFO [uvm_test_top.env.AgentDefault.coverage]: Processed 51 transactions
